tau (s) - HBT Measurement	g^(2)(tau) - HBT Measurement	tau (s) - none Fit	g^(2)(tau) - none Fit	
44,3635n	976,734m	44,3635n	1	
44,5254n	572,568m	44,5254n	1	
44,6873n	774,651m	44,6873n	1	
44,8492n	1,01041	44,8492n	1	
45,0111n	1,2125	45,0111n	1	
45,173n	943,054m	45,173n	1	
45,335n	1,14514	45,335n	1	
45,4969n	740,971m	45,4969n	1	
45,6588n	1,01041	45,6588n	1	
45,8207n	740,971m	45,8207n	1	
45,9826n	875,693m	45,9826n	1	
46,1445n	875,693m	46,1445n	1	
46,3064n	909,373m	46,3064n	1	
46,4683n	1,07778	46,4683n	1	
46,6302n	639,929m	46,6302n	1	
46,7921n	808,332m	46,7921n	1	
46,9541n	1,01041	46,9541n	1	
47,116n	572,568m	47,116n	1	
47,2779n	1,0441	47,2779n	1	
47,4398n	976,734m	47,4398n	1	
47,6017n	1,24618	47,6017n	1	
47,7636n	909,373m	47,7636n	1	
47,9255n	976,734m	47,9255n	1	
48,0874n	1,14514	48,0874n	1	
48,2493n	1,0441	48,2493n	1	
48,4113n	1,01041	48,4113n	1	
48,5732n	943,054m	48,5732n	1	
48,7351n	909,373m	48,7351n	1	
48,897n	774,651m	48,897n	1	
49,0589n	875,693m	49,0589n	1	
49,2208n	1,44826	49,2208n	1	
49,3827n	1,01041	49,3827n	1	
49,5446n	909,373m	49,5446n	1	
49,7065n	1,2125	49,7065n	1	
49,8684n	1,0441	49,8684n	1	
50,0304n	909,373m	50,0304n	1	
